Manpower,Disaster_Group,Disaster_Subgroup,Disaster_Type
29,Natural,Meteorological,Storm
25,Natural,Geophysical,Earthquake
81,Natural,Geophysical,Earthquake
9209,Natural,Climatological,Drought
9012,Natural,Climatological,Drought
9194,Natural,Climatological,Drought
86,Natural,Hydrological,Flood
272,Natural,Geophysical,Volcanic activity
113,Natural,Hydrological,Flood
96,Natural,Hydrological,Landslide
51,Natural,Hydrological,Flood
235,Natural,Hydrological,Flood
46,Natural,Meteorological,Storm
107,Natural,Meteorological,Storm
206,Natural,Meteorological,Storm
207,Natural,Meteorological,Storm
3,Natural,Meteorological,Extreme temperature 
63,Natural,Hydrological,Flood
94,Natural,Meteorological,Storm
56,Natural,Geophysical,Earthquake
67,Natural,Geophysical,Earthquake
48,Natural,Hydrological,Flood
92,Natural,Meteorological,Storm
123,Natural,Geophysical,Earthquake
224,Natural,Geophysical,Earthquake
61,Natural,Biological,Epidemic
306,Natural,Hydrological,Landslide
72,Natural,Meteorological,Storm
77,Natural,Meteorological,Storm
273,Natural,Meteorological,Storm
289,Natural,Meteorological,Storm
255,Natural,Hydrological,Landslide
78,Natural,Meteorological,Storm
11,Natural,Hydrological,Flood
9005,Natural,Climatological,Drought
106,Natural,Hydrological,Flood
110,Natural,Meteorological,Storm
93,Natural,Geophysical,Earthquake
90,Natural,Meteorological,Storm
28,Natural,Biological,Epidemic
45,Natural,Climatological,Wildfire
9016,Natural,Climatological,Drought
126,Natural,Hydrological,Flood
9309,Natural,Climatological,Drought
30,Natural,Meteorological,Storm
37,Natural,Meteorological,Storm
111,Natural,Meteorological,Storm
9120,Natural,Climatological,Drought
65,Natural,Hydrological,Flood
85,Natural,Hydrological,Flood
172,Natural,Hydrological,Flood
276,Natural,Meteorological,Storm
244,Natural,Meteorological,Storm
127,Natural,Geophysical,Earthquake
245,Natural,Hydrological,Flood
57,Natural,Geophysical,Earthquake
211,Natural,Geophysical,Earthquake
115,Natural,Hydrological,Landslide
266,Natural,Hydrological,Flood
150,Natural,Hydrological,Flood
293,Natural,Hydrological,Landslide
62,Natural,Meteorological,Storm
83,Natural,Meteorological,Storm
101,Natural,Meteorological,Storm
112,Natural,Meteorological,Storm
134,Natural,Meteorological,Storm
136,Natural,Meteorological,Storm
138,Natural,Meteorological,Storm
7,Natural,Hydrological,Flood
60,Natural,Meteorological,Storm
97,Natural,Hydrological,Flood
302,Natural,Hydrological,Landslide
114,Natural,Hydrological,Flood
128,Natural,Geophysical,Earthquake
31,Natural,Geophysical,Earthquake
36,Natural,Geophysical,Earthquake
9007,Natural,Climatological,Drought
9350,Natural,Climatological,Drought
268,Natural,Climatological,Wildfire
269,Natural,Climatological,Wildfire
277,Natural,Hydrological,Flood
278,Natural,Meteorological,Storm
141,Natural,Geophysical,Earthquake
61,Natural,Meteorological,Storm
47,Natural,Geophysical,Volcanic activity
94,Natural,Geophysical,Volcanic activity
23,Natural,Hydrological,Landslide
67,Natural,Hydrological,Landslide
242,Natural,Meteorological,Storm
108,Natural,Biological,Epidemic
33,Natural,Hydrological,Flood
62,Natural,Hydrological,Flood
134,Natural,Hydrological,Flood
120,Natural,Meteorological,Storm
313,Natural,Meteorological,Storm
129,Natural,Meteorological,Extreme temperature 
109,Natural,Biological,Epidemic
9350,Natural,Climatological,Drought
87,Natural,Hydrological,Flood
314,Natural,Hydrological,Flood
35,Natural,Geophysical,Earthquake
106,Natural,Geophysical,Earthquake
132,Natural,Hydrological,Landslide
90,Natural,Meteorological,Storm
92,Natural,Meteorological,Storm
99,Natural,Meteorological,Storm
86,Natural,Hydrological,Flood
365,Natural,Meteorological,Storm
107,Natural,Hydrological,Flood
91,Natural,Meteorological,Storm
95,Natural,Meteorological,Storm
136,Natural,Geophysical,Mass movement (dry)
56,Natural,Hydrological,Flood
130,Natural,Hydrological,Flood
45,Natural,Hydrological,Landslide
147,Natural,Meteorological,Storm
291,Natural,Geophysical,Earthquake
39,Natural,Geophysical,Volcanic activity
96,Natural,Hydrological,Flood
105,Natural,Meteorological,Storm
125,Natural,Hydrological,Flood
57,Natural,Meteorological,Storm
403,Natural,Hydrological,Flood
28,Natural,Biological,Epidemic
24,Natural,Meteorological,Storm
139,Natural,Meteorological,Storm
402,Natural,Hydrological,Flood
60,Natural,Meteorological,Storm
407,Natural,Biological,Epidemic
354,Natural,Hydrological,Flood
89,Natural,Hydrological,Flood
293,Natural,Geophysical,Earthquake
25,Natural,Hydrological,Flood
40,Natural,Hydrological,Landslide
50,Natural,Hydrological,Flood
195,Natural,Hydrological,Flood
180,Natural,Hydrological,Flood
37,Natural,Meteorological,Storm
38,Natural,Meteorological,Storm
93,Natural,Meteorological,Storm
101,Natural,Meteorological,Storm
111,Natural,Meteorological,Storm
173,Natural,Meteorological,Storm
174,Natural,Meteorological,Storm
175,Natural,Meteorological,Storm
176,Natural,Meteorological,Storm
29,Natural,Hydrological,Flood
193,Natural,Hydrological,Flood
307,Natural,Geophysical,Earthquake
3,Natural,Hydrological,Flood
66,Natural,Hydrological,Flood
334,Natural,Meteorological,Storm
109,Natural,Geophysical,Earthquake
58,Natural,Geophysical,Earthquake
437,Natural,Geophysical,Earthquake
81,Natural,Geophysical,Earthquake
536,Natural,Meteorological,Storm
9331,Natural,Climatological,Drought
9060,Natural,Climatological,Drought
9182,Natural,Climatological,Drought
310,Natural,Climatological,Wildfire
9308,Natural,Climatological,Drought
307,Natural,Hydrological,Flood
67,Natural,Geophysical,Earthquake
88,Natural,Geophysical,Volcanic activity
95,Natural,Geophysical,Volcanic activity
119,Natural,Geophysical,Volcanic activity
524,Natural,Hydrological,Landslide
50,Natural,Biological,Epidemic
90,Natural,Hydrological,Flood
126,Natural,Hydrological,Flood
154,Natural,Hydrological,Flood
117,Natural,Hydrological,Landslide
61,Natural,Meteorological,Storm
87,Natural,Meteorological,Storm
129,Natural,Meteorological,Storm
68,Natural,Meteorological,Storm
76,Natural,Meteorological,Storm
89,Natural,Hydrological,Flood
102,Natural,Hydrological,Flood
153,Natural,Hydrological,Flood
507,Natural,Hydrological,Flood
362,Natural,Meteorological,Storm
432,Natural,Geophysical,Earthquake
361,Natural,Geophysical,Volcanic activity
360,Natural,Hydrological,Landslide
365,Natural,Climatological,Wildfire
112,Natural,Geophysical,Earthquake
99,Natural,Climatological,Wildfire
368,Natural,Hydrological,Landslide
130,Natural,Geophysical,Volcanic activity
525,Natural,Hydrological,Landslide
123,Natural,Meteorological,Storm
98,Natural,Hydrological,Landslide
455,Natural,Geophysical,Mass movement (dry)
118,Natural,Meteorological,Storm
151,Natural,Hydrological,Flood
375,Natural,Hydrological,Flood
9186,Natural,Climatological,Drought
157,Natural,Meteorological,Storm
329,Natural,Meteorological,Storm
107,Natural,Hydrological,Landslide
134,Natural,Meteorological,Storm
17,Natural,Biological,Epidemic
20,Natural,Biological,Epidemic
156,Natural,Meteorological,Storm
152,Natural,Hydrological,Flood
526,Natural,Hydrological,Landslide
114,Natural,Hydrological,Flood
286,Natural,Hydrological,Flood
165,Natural,Geophysical,Earthquake
53,Natural,Hydrological,Landslide
439,Natural,Hydrological,Landslide
440,Natural,Hydrological,Flood
70,Natural,Geophysical,Earthquake
5,Natural,Hydrological,Landslide
333,Natural,Hydrological,Landslide
11,Natural,Meteorological,Extreme temperature 
9007,Natural,Climatological,Drought
254,Natural,Meteorological,Storm
96,Natural,Meteorological,Storm
219,Natural,Meteorological,Storm
220,Natural,Meteorological,Storm
9016,Natural,Climatological,Drought
255,Natural,Hydrological,Flood
162,Natural,Geophysical,Earthquake
132,Natural,Geophysical,Volcanic activity
116,Natural,Hydrological,Flood
441,Natural,Hydrological,Flood
12,Natural,Meteorological,Storm
377,Natural,Climatological,Wildfire
379,Natural,Climatological,Wildfire
9378,Natural,Climatological,Drought
148,Natural,Hydrological,Flood
9332,Natural,Climatological,Drought
40,Natural,Hydrological,Flood
48,Natural,Biological,Epidemic
43,Natural,Meteorological,Storm
71,Natural,Meteorological,Storm
9381,Natural,Climatological,Drought
128,Natural,Hydrological,Flood
84,Natural,Geophysical,Earthquake
335,Natural,Geophysical,Earthquake
9151,Natural,Climatological,Drought
238,Natural,Hydrological,Flood
268,Natural,Meteorological,Storm
15,Natural,Geophysical,Earthquake
72,Natural,Geophysical,Earthquake
42,Natural,Geophysical,Volcanic activity
81,Natural,Geophysical,Volcanic activity
328,Natural,Geophysical,Volcanic activity
118,Natural,Biological,Epidemic
9013,Natural,Climatological,Drought
37,Natural,Hydrological,Flood
121,Natural,Hydrological,Flood
327,Natural,Hydrological,Flood
124,Natural,Geophysical,Earthquake
322,Natural,Hydrological,Flood
110,Natural,Meteorological,Storm
227,Natural,Meteorological,Storm
228,Natural,Meteorological,Storm
115,Natural,Meteorological,Extreme temperature 
44,Natural,Climatological,Wildfire
53,Natural,Biological,Epidemic
316,Natural,Biological,Epidemic
317,Natural,Biological,Epidemic
40,Natural,Hydrological,Flood
318,Natural,Hydrological,Flood
323,Natural,Hydrological,Flood
325,Natural,Hydrological,Flood
269,Natural,Geophysical,Volcanic activity
38,Natural,Geophysical,Earthquake
47,Natural,Geophysical,Earthquake
274,Natural,Geophysical,Earthquake
410,Natural,Hydrological,Landslide
242,Natural,Meteorological,Storm
59,Natural,Hydrological,Landslide
74,Natural,Hydrological,Flood
77,Natural,Hydrological,Flood
350,Natural,Hydrological,Flood
43,Natural,Hydrological,Flood
101,Natural,Hydrological,Flood
418,Natural,Hydrological,Flood
9145,Natural,Climatological,Drought
34,Natural,Meteorological,Storm
117,Natural,Hydrological,Flood
78,Natural,Meteorological,Storm
54,Natural,Biological,Epidemic
18,Natural,Meteorological,Storm
89,Natural,Hydrological,Flood
144,Natural,Meteorological,Storm
147,Natural,Biological,Epidemic
246,Natural,Meteorological,Storm
75,Natural,Hydrological,Flood
197,Natural,Hydrological,Flood
339,Natural,Geophysical,Earthquake
67,Natural,Hydrological,Flood
98,Natural,Hydrological,Flood
26,Natural,Hydrological,Landslide
83,Natural,Geophysical,Volcanic activity
73,Natural,Meteorological,Storm
105,Natural,Meteorological,Storm
185,Natural,Meteorological,Storm
186,Natural,Meteorological,Storm
150,Natural,Meteorological,Storm
276,Natural,Hydrological,Flood
81,Natural,Hydrological,Flood
224,Natural,Climatological,Wildfire
216,Natural,Hydrological,Flood
220,Natural,Hydrological,Flood
110,Natural,Geophysical,Earthquake
83,Natural,Geophysical,Volcanic activity
75,Natural,Hydrological,Flood
9,Natural,Hydrological,Flood
62,Natural,Hydrological,Flood
25,Natural,Meteorological,Storm
317,Natural,Hydrological,Flood
343,Natural,Hydrological,Flood
121,Natural,Meteorological,Storm
141,Natural,Meteorological,Extreme temperature 
69,Natural,Meteorological,Extreme temperature 
37,Natural,Biological,Epidemic
7,Natural,Biological,Epidemic
115,Natural,Biological,Epidemic
67,Natural,Hydrological,Flood
68,Natural,Hydrological,Flood
131,Natural,Hydrological,Flood
380,Natural,Meteorological,Storm
27,Natural,Geophysical,Earthquake
133,Natural,Meteorological,Storm
79,Natural,Meteorological,Storm
375,Natural,Meteorological,Storm
118,Natural,Meteorological,Storm
168,Natural,Biological,Epidemic
128,Natural,Meteorological,Storm
29,Natural,Hydrological,Flood
109,Natural,Geophysical,Earthquake
8,Natural,Biological,Insect infestation
28,Natural,Hydrological,Flood
47,Natural,Meteorological,Storm
10,Natural,Biological,Insect infestation
394,Natural,Hydrological,Flood
156,Natural,Meteorological,Storm
15,Natural,Hydrological,Flood
178,Natural,Meteorological,Storm
92,Natural,Hydrological,Flood
392,Natural,Hydrological,Flood
393,Natural,Hydrological,Flood
78,Natural,Geophysical,Earthquake
191,Natural,Geophysical,Earthquake
71,Natural,Geophysical,Mass movement (dry)
239,Natural,Hydrological,Landslide
237,Natural,Hydrological,Landslide
171,Natural,Geophysical,Earthquake
125,Natural,Geophysical,Mass movement (dry)
342,Natural,Hydrological,Flood
124,Natural,Meteorological,Storm
190,Natural,Meteorological,Storm
192,Natural,Meteorological,Storm
117,Natural,Hydrological,Flood
227,Natural,Geophysical,Earthquake
354,Natural,Hydrological,Landslide
345,Natural,Hydrological,Flood
267,Natural,Climatological,Wildfire
346,Natural,Hydrological,Flood
76,Natural,Geophysical,Earthquake
196,Natural,Climatological,Wildfire
93,Natural,Hydrological,Flood
125,Natural,Hydrological,Flood
70,Natural,Hydrological,Flood
9405,Natural,Climatological,Drought
126,Natural,Hydrological,Flood
89,Natural,Biological,Epidemic
16,Natural,Biological,Epidemic
9128,Natural,Climatological,Drought
53,Natural,Hydrological,Flood
222,Natural,Hydrological,Flood
223,Natural,Hydrological,Flood
256,Natural,Meteorological,Storm
372,Natural,Geophysical,Earthquake
85,Natural,Hydrological,Flood
134,Natural,Hydrological,Landslide
294,Natural,Hydrological,Landslide
62,Natural,Meteorological,Storm
116,Natural,Meteorological,Storm
19,Natural,Biological,Epidemic
72,Natural,Biological,Epidemic
84,Natural,Meteorological,Storm
239,Natural,Hydrological,Flood
385,Natural,Hydrological,Flood
386,Natural,Meteorological,Storm
103,Natural,Meteorological,Storm
174,Natural,Geophysical,Earthquake
189,Natural,Geophysical,Earthquake
129,Natural,Hydrological,Flood
225,Natural,Hydrological,Flood
31,Natural,Hydrological,Flood
60,Natural,Hydrological,Flood
48,Natural,Meteorological,Storm
135,Natural,Geophysical,Volcanic activity
395,Natural,Hydrological,Landslide
293,Natural,Hydrological,Landslide
97,Natural,Meteorological,Storm
391,Natural,Hydrological,Flood
105,Natural,Meteorological,Storm
112,Natural,Meteorological,Storm
178,Natural,Hydrological,Flood
42,Natural,Meteorological,Storm
144,Natural,Hydrological,Flood
233,Natural,Hydrological,Flood
181,Natural,Biological,Insect infestation
45,Natural,Climatological,Wildfire
136,Natural,Hydrological,Flood
88,Natural,Biological,Insect infestation
39,Natural,Biological,Epidemic
127,Natural,Biological,Epidemic
108,Natural,Biological,Insect infestation
148,Natural,Meteorological,Storm
210,Natural,Meteorological,Storm
211,Natural,Meteorological,Storm
212,Natural,Hydrological,Flood
224,Natural,Hydrological,Flood
172,Natural,Hydrological,Flood
175,Natural,Hydrological,Flood
396,Natural,Hydrological,Flood
69,Natural,Meteorological,Storm
186,Natural,Geophysical,Earthquake
119,Natural,Hydrological,Flood
51,Natural,Geophysical,Earthquake
150,Natural,Geophysical,Earthquake
27,Natural,Hydrological,Flood
41,Natural,Hydrological,Landslide
80,Natural,Meteorological,Storm
104,Natural,Meteorological,Storm
122,Natural,Meteorological,Storm
151,Natural,Meteorological,Storm
152,Natural,Meteorological,Storm
153,Natural,Meteorological,Storm
155,Natural,Hydrological,Flood
71,Natural,Climatological,Wildfire
213,Natural,Geophysical,Earthquake
9033,Natural,Climatological,Drought
320,Natural,Hydrological,Flood
58,Natural,Geophysical,Earthquake
9027,Natural,Climatological,Drought
294,Natural,Climatological,Wildfire
288,Natural,Hydrological,Flood
293,Natural,Hydrological,Flood
127,Natural,Hydrological,Flood
222,Natural,Hydrological,Flood
256,Natural,Hydrological,Flood
257,Natural,Hydrological,Flood
86,Natural,Geophysical,Earthquake
94,Natural,Geophysical,Mass movement (dry)
234,Natural,Geophysical,Volcanic activity
63,Natural,Hydrological,Flood
87,Natural,Hydrological,Flood
228,Natural,Hydrological,Flood
232,Natural,Hydrological,Flood
589,Natural,Hydrological,Flood
137,Natural,Hydrological,Flood
206,Natural,Meteorological,Storm
280,Natural,Meteorological,Storm
104,Natural,Meteorological,Extreme temperature 
570,Natural,Biological,Epidemic
9024,Natural,Climatological,Drought
341,Natural,Meteorological,Storm
360,Natural,Meteorological,Storm
386,Natural,Hydrological,Flood
394,Natural,Hydrological,Flood
410,Natural,Hydrological,Flood
595,Natural,Hydrological,Flood
101,Natural,Geophysical,Earthquake
133,Natural,Hydrological,Flood
311,Natural,Hydrological,Flood
383,Natural,Hydrological,Flood
387,Natural,Hydrological,Flood
402,Natural,Hydrological,Flood
412,Natural,Hydrological,Flood
119,Natural,Hydrological,Landslide
324,Natural,Hydrological,Flood
340,Natural,Meteorological,Storm
347,Natural,Meteorological,Storm
352,Natural,Meteorological,Storm
597,Natural,Hydrological,Landslide
326,Natural,Hydrological,Flood
194,Natural,Hydrological,Flood
229,Natural,Geophysical,Earthquake
193,Natural,Meteorological,Storm
9026,Natural,Climatological,Drought
89,Natural,Hydrological,Flood
321,Natural,Hydrological,Flood
130,Natural,Meteorological,Storm
349,Natural,Meteorological,Storm
65,Natural,Biological,Epidemic
9028,Natural,Climatological,Drought
112,Natural,Hydrological,Flood
536,Natural,Meteorological,Storm
202,Natural,Biological,Epidemic
9025,Natural,Climatological,Drought
163,Natural,Hydrological,Flood
172,Natural,Biological,Insect infestation
84,Natural,Hydrological,Flood
254,Natural,Geophysical,Earthquake
111,Natural,Hydrological,Flood
583,Natural,Hydrological,Flood
176,Natural,Biological,Epidemic
151,Natural,Biological,Epidemic
4,Natural,Biological,Insect infestation
9154,Natural,Climatological,Drought
171,Natural,Biological,Epidemic
204,Natural,Biological,Insect infestation
221,Natural,Hydrological,Flood
9,Natural,Biological,Insect infestation
529,Natural,Biological,Epidemic
92,Natural,Biological,Epidemic
177,Natural,Biological,Epidemic
523,Natural,Biological,Epidemic
525,Natural,Biological,Epidemic
299,Natural,Meteorological,Storm
298,Natural,Meteorological,Extreme temperature 
68,Natural,Geophysical,Earthquake
568,Natural,Climatological,Wildfire
267,Natural,Hydrological,Flood
23,Natural,Hydrological,Flood
50,Natural,Hydrological,Landslide
225,Natural,Hydrological,Landslide
73,Natural,Hydrological,Flood
146,Natural,Meteorological,Storm
197,Natural,Meteorological,Storm
212,Natural,Meteorological,Storm
239,Natural,Meteorological,Storm
240,Natural,Meteorological,Storm
9030,Natural,Climatological,Drought
91,Natural,Hydrological,Flood
549,Natural,Hydrological,Flood
550,Natural,Hydrological,Flood
569,Natural,Hydrological,Landslide
60,Natural,Meteorological,Storm
119,Natural,Meteorological,Storm
430,Natural,Meteorological,Storm
431,Natural,Hydrological,Flood
333,Natural,Hydrological,Flood
484,Natural,Meteorological,Storm
424,Natural,Meteorological,Storm
60,Natural,Hydrological,Flood
205,Natural,Geophysical,Volcanic activity
314,Natural,Geophysical,Volcanic activity
494,Natural,Hydrological,Flood
504,Natural,Hydrological,Flood
80,Natural,Hydrological,Landslide
382,Natural,Geophysical,Earthquake
244,Natural,Hydrological,Flood
438,Natural,Hydrological,Flood
125,Natural,Hydrological,Landslide
293,Natural,Hydrological,Landslide
519,Natural,Meteorological,Storm
183,Natural,Meteorological,Extreme temperature 
190,Natural,Meteorological,Extreme temperature 
238,Natural,Biological,Epidemic
297,Natural,Biological,Epidemic
496,Natural,Biological,Epidemic
41,Natural,Geophysical,Earthquake
144,Natural,Geophysical,Earthquake
392,Natural,Hydrological,Flood
427,Natural,Meteorological,Storm
61,Natural,Hydrological,Flood
154,Natural,Meteorological,Storm
295,Natural,Hydrological,Landslide
94,Natural,Geophysical,Mass movement (dry)
492,Natural,Biological,Insect infestation
29,Natural,Meteorological,Extreme temperature 
45,Natural,Meteorological,Storm
245,Natural,Biological,Epidemic
147,Natural,Biological,Insect infestation
342,Natural,Hydrological,Flood
102,Natural,Meteorological,Storm
33,Natural,Biological,Insect infestation
343,Natural,Biological,Epidemic
241,Natural,Biological,Insect infestation
509,Natural,Hydrological,Flood
192,Natural,Biological,Epidemic
336,Natural,Hydrological,Flood
234,Natural,Biological,Insect infestation
334,Natural,Hydrological,Flood
523,Natural,Hydrological,Landslide
481,Natural,Meteorological,Storm
383,Natural,Geophysical,Earthquake
286,Natural,Hydrological,Flood
381,Natural,Hydrological,Landslide
321,Natural,Meteorological,Storm
138,Natural,Geophysical,Mass movement (dry)
332,Natural,Hydrological,Flood
478,Natural,Meteorological,Storm
93,Natural,Hydrological,Flood
63,Natural,Biological,Epidemic
454,Natural,Biological,Epidemic
101,Natural,Hydrological,Landslide
477,Natural,Meteorological,Storm
558,Natural,Hydrological,Landslide
559,Natural,Hydrological,Landslide
231,Natural,Meteorological,Storm
312,Natural,Meteorological,Storm
480,Natural,Meteorological,Storm
506,Natural,Meteorological,Storm
557,Natural,Meteorological,Storm
415,Natural,Geophysical,Mass movement (dry)
233,Natural,Hydrological,Flood
201,Natural,Hydrological,Flood
359,Natural,Hydrological,Flood
4,Natural,Biological,Epidemic
495,Natural,Biological,Epidemic
9125,Natural,Climatological,Drought
136,Natural,Biological,Epidemic
149,Natural,Hydrological,Flood
106,Natural,Hydrological,Flood
187,Natural,Hydrological,Flood
260,Natural,Meteorological,Storm
263,Natural,Geophysical,Earthquake
257,Natural,Meteorological,Storm
258,Natural,Meteorological,Storm
259,Natural,Meteorological,Storm
261,Natural,Hydrological,Flood
105,Natural,Hydrological,Flood
244,Natural,Biological,Insect infestation
39,Natural,Geophysical,Earthquake
9122,Natural,Climatological,Drought
26,Natural,Meteorological,Storm
122,Natural,Hydrological,Flood
59,Natural,Hydrological,Flood
9128,Natural,Climatological,Drought
34,Natural,Meteorological,Storm
256,Natural,Meteorological,Storm
88,Natural,Meteorological,Storm
272,Natural,Meteorological,Storm
35,Natural,Geophysical,Volcanic activity
16,Natural,Meteorological,Storm
52,Natural,Geophysical,Earthquake
101,Natural,Hydrological,Flood
246,Natural,Biological,Insect infestation
9114,Natural,Climatological,Drought
9005,Natural,Climatological,Drought
46,Natural,Geophysical,Earthquake
63,Natural,Meteorological,Extreme temperature 
9114,Natural,Climatological,Drought
80,Natural,Meteorological,Storm
9114,Natural,Climatological,Drought
9005,Natural,Climatological,Drought
280,Natural,Hydrological,Flood
353,Natural,Hydrological,Landslide
34,Natural,Hydrological,Flood
43,Natural,Biological,Epidemic
47,Natural,Geophysical,Volcanic activity
299,Natural,Meteorological,Storm
300,Natural,Meteorological,Storm
257,Natural,Hydrological,Flood
294,Natural,Hydrological,Flood
295,Natural,Hydrological,Flood
77,Natural,Meteorological,Storm
184,Natural,Geophysical,Earthquake
68,Natural,Meteorological,Storm
90,Natural,Meteorological,Storm
106,Natural,Hydrological,Flood
9125,Natural,Climatological,Drought
9309,Natural,Climatological,Drought
34,Natural,Hydrological,Flood
280,Natural,Meteorological,Storm
301,Natural,Hydrological,Flood
64,Natural,Meteorological,Storm
104,Natural,Meteorological,Storm
270,Natural,Hydrological,Flood
277,Natural,Meteorological,Storm
49,Natural,Meteorological,Storm
58,Natural,Meteorological,Storm
275,Natural,Meteorological,Storm
299,Natural,Hydrological,Flood
44,Natural,Hydrological,Landslide
29,Natural,Meteorological,Storm
109,Natural,Meteorological,Storm
79,Natural,Hydrological,Flood
35,Natural,Hydrological,Flood
73,Natural,Geophysical,Earthquake
267,Natural,Hydrological,Flood
9309,Natural,Climatological,Drought
6,Natural,Hydrological,Flood
9309,Natural,Climatological,Drought
9309,Natural,Climatological,Drought
81,Natural,Geophysical,Earthquake
44,Natural,Meteorological,Storm
9286,Natural,Climatological,Drought
102,Natural,Hydrological,Flood
345,Natural,Hydrological,Flood
346,Natural,Hydrological,Flood
34,Natural,Meteorological,Storm
65,Natural,Meteorological,Storm
114,Natural,Hydrological,Flood
78,Natural,Hydrological,Flood
408,Natural,Biological,Epidemic
46,Natural,Meteorological,Storm
361,Natural,Meteorological,Storm
359,Natural,Meteorological,Storm
381,Natural,Meteorological,Storm
124,Natural,Meteorological,Storm
19,Natural,Meteorological,Storm
20,Natural,Hydrological,Flood
353,Natural,Hydrological,Flood
357,Natural,Meteorological,Storm
372,Natural,Meteorological,Storm
379,Natural,Meteorological,Storm
380,Natural,Meteorological,Storm
382,Natural,Meteorological,Storm
112,Natural,Meteorological,Storm
42,Natural,Hydrological,Flood
131,Natural,Geophysical,Earthquake
83,Natural,Biological,Epidemic
9060,Natural,Climatological,Drought
197,Natural,Geophysical,Earthquake
9060,Natural,Climatological,Drought
108,Natural,Hydrological,Flood
86,Natural,Hydrological,Flood
9211,Natural,Climatological,Drought
400,Natural,Meteorological,Storm
66,Natural,Geophysical,Earthquake
392,Natural,Hydrological,Flood
397,Natural,Hydrological,Flood
105,Natural,Hydrological,Flood
136,Natural,Geophysical,Earthquake
120,Natural,Meteorological,Storm
64,Natural,Biological,Epidemic
174,Natural,Geophysical,Earthquake
514,Natural,Geophysical,Earthquake
110,Natural,Meteorological,Storm
503,Natural,Meteorological,Extreme temperature 
36,Natural,Meteorological,Storm
159,Natural,Meteorological,Storm
471,Natural,Hydrological,Flood
473,Natural,Hydrological,Flood
476,Natural,Meteorological,Storm
478,Natural,Meteorological,Storm
492,Natural,Meteorological,Storm
77,Natural,Meteorological,Storm
125,Natural,Meteorological,Storm
452,Natural,Meteorological,Storm
113,Natural,Climatological,Wildfire
484,Natural,Meteorological,Storm
408,Natural,Geophysical,Earthquake
409,Natural,Climatological,Wildfire
194,Natural,Meteorological,Storm
9060,Natural,Climatological,Drought
9200,Natural,Climatological,Drought
152,Natural,Biological,Epidemic
153,Natural,Meteorological,Storm
52,Natural,Meteorological,Storm
28,Natural,Geophysical,Earthquake
287,Natural,Hydrological,Flood
45,Natural,Hydrological,Flood
17,Natural,Meteorological,Storm
9159,Natural,Climatological,Drought
116,Natural,Hydrological,Flood
353,Natural,Hydrological,Flood
86,Natural,Geophysical,Earthquake
413,Natural,Geophysical,Earthquake
284,Natural,Hydrological,Flood
123,Natural,Meteorological,Storm
51,Natural,Hydrological,Flood
9012,Natural,Climatological,Drought
30,Natural,Meteorological,Storm
55,Natural,Meteorological,Storm
375,Natural,Hydrological,Flood
377,Natural,Meteorological,Storm
379,Natural,Meteorological,Storm
385,Natural,Meteorological,Storm
386,Natural,Meteorological,Storm
387,Natural,Meteorological,Storm
391,Natural,Meteorological,Storm
393,Natural,Meteorological,Storm
394,Natural,Meteorological,Storm
395,Natural,Meteorological,Storm
406,Natural,Hydrological,Flood
411,Natural,Hydrological,Flood
35,Natural,Meteorological,Storm
103,Natural,Meteorological,Storm
90,Natural,Hydrological,Flood
104,Natural,Meteorological,Storm
19,Natural,Meteorological,Storm
160,Natural,Biological,Epidemic
127,Natural,Hydrological,Flood
43,Natural,Meteorological,Storm
135,Natural,Biological,Epidemic
45,Natural,Biological,Epidemic
78,Natural,Geophysical,Earthquake
122,Natural,Geophysical,Earthquake
36,Natural,Hydrological,Flood
90,Natural,Hydrological,Flood
272,Natural,Hydrological,Flood
389,Natural,Meteorological,Storm
151,Natural,Hydrological,Flood
16,Natural,Hydrological,Flood
194,Natural,Geophysical,Earthquake
278,Natural,Climatological,Wildfire
137,Natural,Biological,Epidemic
49,Natural,Meteorological,Storm
2,Natural,Hydrological,Flood
3,Natural,Hydrological,Flood
5,Natural,Hydrological,Flood
157,Natural,Hydrological,Flood
166,Natural,Hydrological,Flood
13,Natural,Meteorological,Storm
104,Natural,Meteorological,Storm
111,Natural,Meteorological,Storm
126,Natural,Meteorological,Storm
357,Natural,Meteorological,Storm
358,Natural,Meteorological,Storm
360,Natural,Meteorological,Storm
368,Natural,Meteorological,Storm
371,Natural,Meteorological,Storm
138,Natural,Hydrological,Flood
106,Natural,Hydrological,Flood
114,Natural,Meteorological,Storm
20,Natural,Meteorological,Storm
193,Natural,Geophysical,Earthquake
295,Natural,Climatological,Wildfire
249,Natural,Meteorological,Extreme temperature 
9024,Natural,Climatological,Drought
7,Natural,Biological,Insect infestation
12,Natural,Biological,Insect infestation
65,Natural,Meteorological,Storm
123,Natural,Geophysical,Earthquake
5,Natural,Biological,Epidemic
20,Natural,Biological,Epidemic
106,Natural,Geophysical,Earthquake
171,Natural,Geophysical,Earthquake
10,Natural,Biological,Insect infestation
59,Natural,Hydrological,Flood
118,Natural,Hydrological,Flood
58,Natural,Geophysical,Earthquake
183,Natural,Geophysical,Earthquake
133,Natural,Geophysical,Earthquake
66,Natural,Hydrological,Landslide
101,Natural,Meteorological,Storm
115,Natural,Meteorological,Storm
11,Natural,Biological,Insect infestation
379,Natural,Hydrological,Flood
